Market,Medium,Month, Rate Card , Discount , Added Value 
"Seychells
(SCR)",DOOH,Sep, 58 474 , 19 230 , -   
"Tanzania 
(TZS)",Television,Sep, 4 800 000 , -   ,
"Tanzania 
(TZS)",Digital,Sep, 3 500 000 , -   ,
"Tanzania 
(TZS)",Influencers,Sep, 3 500 000 , -   ,
"Tanzania 
(TZS)",Radio,Sep, 65 500 000 , 13 100 000 , 15 000 000 
"Tanzania 
(TZS)",Print,Sep, 10 100 000 , -   ,
"Tanzania 
(TZS)",DOOH,Sep, 29 420 000 , -   , 14 710 000 
"Uganda 
(UGX)",Television,Sep, 90 000 000 , 34 000 000 , 97 116 937 
"Uganda 
(UGX)",Digital,Sep, 720 000 , -   , -   
"Uganda 
(UGX)",Radio,Sep, 128 000 000 , 86 000 000 , 136 178 183 
"Uganda 
(UGX)",Print,Sep, 85 000 000 , 72 254 238 ,
"Uganda 
(UGX)",DOOH,Sep, 25 000 000 , 11 000 000 ,
"Zambia 
(ZMW)",Television,Sep, 520 000 , 25 000 , 108 900 
"Zambia 
(ZMW)",Digital,Sep, 180 000 , 18 000 , 35 640 
"Zambia 
(ZMW)",META,Sep, 90 000 , 8 000 , 18 040 
"Zambia 
(ZMW)",LinkedIn,Sep, 55 000 , 5 320 , 10 930 
"Zambia 
(ZMW)",Programmatic Video,Sep, 20 000 , 3 600 , 3 608 
"Zambia 
(ZMW)",Radio,Sep, 620 000 , 152 306 , 102 893 
"Zambia 
(ZMW)",Print,Sep, 55 000 , 20 000 , 7 700 
"Zambia 
(ZMW)",OOH,Sep, 540 000 , 220 263 , 70 342 
"Zambia 
(ZMW)",DOOH,Sep, 162 000 , 162 000 , 162 000 
